time,user_count,tick_avg_ms,tick_max_ms,tick_count
20:21:38,1,0,0,0
20:21:55,1000,27.995,20923.77,1051
20:22:12,1000,568.565,8306.015,30
20:22:29,1000,532.308,8089.825,32
20:22:46,999,148.031,8289.217,113
20:31:50,1,0,0,0
20:32:00,1553,12.703,9726.415,1552
20:32:10,2215,15.099,24.605,662
20:32:20,2763,18.255,123.381,548
20:32:35,3000,28.237,4142.59,267
20:32:52,3000,148.9,7821.17,114
20:33:10,3000,140.169,7708.011,124
20:33:27,2999,111.038,7904.925,157
20:37:04,1,0,0,0
20:37:14,1493,18.529,18433.118,1534
20:37:24,2092,16.69,30.366,599
20:37:34,2553,21.655,107.96,461
20:37:44,3167,16.329,90.147,614
20:37:54,3771,16.545,67.191,604
20:38:04,4358,17.024,48.318,587
20:38:14,4846,20.499,78.692,488
20:38:24,5000,43.699,4478.223,229
20:38:39,5000,84.652,6292.21,106
20:38:49,5000,113.038,6426.495,145
20:39:04,5000,64.183,6347.926,151
20:39:14,5000,96.726,5516.167,159
20:39:24,2012,53.297,4931.217,193
20:41:55,1,0,0,0
20:42:05,1501,13.499,10745.806,1536
20:42:15,2096,16.812,24.058,595
20:42:25,2556,21.77,33.615,460
20:42:35,2954,25.132,105.097,398
20:42:45,3542,17.021,56.443,588
20:42:55,4177,15.745,39.341,635
20:43:05,4708,18.839,38.46,531
20:43:15,5148,22.732,56.103,440
20:43:25,5542,25.433,43.794,394
20:43:35,5920,26.47,47.257,378
20:43:45,6260,29.477,58.322,340
20:43:55,6581,31.208,46.866,321
20:44:05,6873,34.308,61.351,292
20:44:16,7000,37.518,150.883,168
20:44:26,7000,101.954,4196.189,139
20:44:36,7000,83.929,4073.72,115
20:44:46,7000,77.278,3957.753,138
20:44:56,4792,62.039,4037.603,161
21:13:14,1,0,0,0
21:13:24,1508,12.968,9928.246,1536
21:13:34,2108,16.646,24.357,600
21:13:44,2548,22.757,29.86,440
21:13:54,2911,27.585,38.096,363
21:14:04,3210,33.462,44.717,299
21:14:14,3490,35.778,47.058,280
21:14:24,3941,22.232,121.4,451
21:14:34,4486,18.352,28.884,545
21:14:44,4926,22.732,82.683,440
21:14:54,5356,23.297,42.145,430
21:15:04,5741,25.999,35.919,385
21:15:14,6084,29.141,59.567,343
21:15:24,6414,30.293,45.76,330
21:15:34,6712,33.646,52.421,298
21:15:44,6986,36.605,62.298,274
21:15:54,7245,38.714,57.445,259
21:16:04,7485,41.772,75.643,240
21:16:14,7715,43.623,60.031,230
21:16:24,7930,46.624,94.695,215
21:16:34,8138,48.162,66.404,208
21:16:44,8330,51.915,81.963,192
21:16:54,8514,54.622,85.14,184
21:17:04,8692,56.338,99.295,178
21:17:14,8863,58.43,89.618,171
21:17:24,9022,62.99,95.636,159
21:17:34,9177,64.582,98.026,155
21:17:44,9328,66.216,159.41,151
21:17:54,9474,68.778,101.884,146
21:18:04,9620,68.65,109.896,146
21:18:14,9760,71.501,112.466,140
21:18:24,9898,72.609,110.171,138
21:18:34,10000,79.444,507.923,126
21:18:44,10000,85.301,463.287,118
21:18:54,10000,87.727,639.685,114
21:19:04,10000,84.078,260.017,117
21:19:14,10000,83.556,428.555,116
21:19:25,10000,87.111,835.37,124
21:19:35,10000,83.663,385.154,120
21:19:45,10000,84.614,411.495,118
21:19:55,10000,86.985,363.012,116
21:20:05,10000,83.655,418.628,116
21:20:15,10000,93.901,606.755,112
21:20:25,10000,84.598,549.414,118
21:20:35,10000,87.522,383.704,115
21:20:45,10000,89.525,472.013,112
21:20:55,5637,103.428,576.935,97
21:21:05,659,9.264,469.912,1097
