ElapsedSec,TPS,TPSAccept,TPSSuccess,RecvPerSec,SendPerSec,SendDropSec
Total Time : 60.016 	 TPS : 83.245 	 TPS_Accept : 82.378 	 TPS_Success : 82.378 	 RecvSec : 2054.795 	 SendSec : 1079110.922 	 SendDropSec : 7305634.117
Total Time : 120.023 	 TPS : 42.645 	 TPS_Accept : 0.933 	 TPS_Success : 0.933 	 RecvSec : 4178.638 	 SendSec : 357038.943 	 SendDropSec : 20539346.515
Total Time : 180.030 	 TPS : 41.862 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4188.741 	 SendSec : 335502.849 	 SendDropSec : 20605490.595
Total Time : 240.038 	 TPS : 42.528 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3987.901 	 SendSec : 315767.713 	 SendDropSec : 19621159.128
Total Time : 300.061 	 TPS : 42.717 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3911.120 	 SendSec : 302859.198 	 SendDropSec : 19250255.079
Total Time : 360.080 	 TPS : 42.553 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4048.604 	 SendSec : 321158.988 	 SendDropSec : 19919404.547
Total Time : 420.084 	 TPS : 42.347 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4019.240 	 SendSec : 289698.939 	 SendDropSec : 19803848.311
Total Time : 480.089 	 TPS : 41.447 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3977.144 	 SendSec : 306010.344 	 SendDropSec : 19577087.961
Total Time : 540.110 	 TPS : 41.469 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4072.366 	 SendSec : 325904.789 	 SendDropSec : 20033274.593
Total Time : 600.129 	 TPS : 42.237 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3871.715 	 SendSec : 301826.656 	 SendDropSec : 19054239.399
Total Time : 660.149 	 TPS : 42.086 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4176.964 	 SendSec : 323780.730 	 SendDropSec : 20558275.441
Total Time : 720.158 	 TPS : 42.410 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3959.639 	 SendSec : 295101.782 	 SendDropSec : 19500480.949
Total Time : 780.173 	 TPS : 41.706 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3953.076 	 SendSec : 294313.946 	 SendDropSec : 19468482.415
Total Time : 840.179 	 TPS : 42.863 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3725.919 	 SendSec : 269685.866 	 SendDropSec : 18357495.994
Total Time : 900.183 	 TPS : 42.197 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3825.687 	 SendSec : 306552.584 	 SendDropSec : 18819488.919
Total Time : 960.196 	 TPS : 41.807 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4135.941 	 SendSec : 320229.044 	 SendDropSec : 20356753.382
Total Time : 1020.215 	 TPS : 41.753 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4002.709 	 SendSec : 311561.803 	 SendDropSec : 19699401.215
Total Time : 1080.230 	 TPS : 41.640 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4214.463 	 SendSec : 324436.590 	 SendDropSec : 20745055.404
Total Time : 1140.241 	 TPS : 42.042 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4072.954 	 SendSec : 303989.251 	 SendDropSec : 20058090.940
Total Time : 1200.251 	 TPS : 42.093 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4042.380 	 SendSec : 312800.419 	 SendDropSec : 19896543.459
Total Time : 1260.256 	 TPS : 42.163 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4012.331 	 SendSec : 312454.405 	 SendDropSec : 19746589.696
Total Time : 1320.265 	 TPS : 42.277 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 3949.881 	 SendSec : 304707.496 	 SendDropSec : 19442127.149
Total Time : 1380.266 	 TPS : 42.000 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4072.477 	 SendSec : 321452.452 	 SendDropSec : 20038285.744
Total Time : 1440.274 	 TPS : 41.845 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4027.666 	 SendSec : 303291.308 	 SendDropSec : 19832411.368
Total Time : 1500.299 	 TPS : 41.899 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4144.630 	 SendSec : 317431.472 	 SendDropSec : 20402951.686
Total Time : 1560.300 	 TPS : 42.383 	 TPS_Accept : 0.000 	 TPS_Success : 0.000 	 RecvSec : 4018.227 	 SendSec : 307621.983 	 SendDropSec : 19780929.999
