ElapsedSec,TPS,RecvPerSec,SendPerSec,SendDropSec
Total Time : 13.449 	 TPS : 0.074 	 RecvSec : 0.000 	 SendSec : 0.000 	 SendDropSec : 0.000
Total Time : 14.450 	 TPS : 689.847 	 RecvSec : 0.000 	 SendSec : 218081.695 	 SendDropSec : 0.000
Total Time : 15.450 	 TPS : 363.931 	 RecvSec : 62.988 	 SendSec : 344242.007 	 SendDropSec : 0.000
Total Time : 16.906 	 TPS : 8.925 	 RecvSec : 0.687 	 SendSec : 685.881 	 SendDropSec : 0.000
Total Time : 18.131 	 TPS : 22.049 	 RecvSec : 51.449 	 SendSec : 51397.106 	 SendDropSec : 0.000
Total Time : 19.489 	 TPS : 21.349 	 RecvSec : 46.378 	 SendSec : 46331.949 	 SendDropSec : 0.000
Total Time : 20.491 	 TPS : 39.932 	 RecvSec : 124.788 	 SendSec : 124663.446 	 SendDropSec : 0.000
Total Time : 22.101 	 TPS : 7.454 	 RecvSec : 0.621 	 SendSec : 620.581 	 SendDropSec : 0.000
Total Time : 23.920 	 TPS : 30.780 	 RecvSec : 69.255 	 SendSec : 69185.556 	 SendDropSec : 0.000
Total Time : 25.863 	 TPS : 13.384 	 RecvSec : 32.429 	 SendSec : 32397.061 	 SendDropSec : 0.000
Total Time : 27.299 	 TPS : 16.015 	 RecvSec : 43.868 	 SendSec : 43823.789 	 SendDropSec : 0.000
Total Time : 28.904 	 TPS : 16.193 	 RecvSec : 39.237 	 SendSec : 39198.162 	 SendDropSec : 0.000
Total Time : 30.440 	 TPS : 31.264 	 RecvSec : 82.068 	 SendSec : 81985.621 	 SendDropSec : 0.000
Total Time : 31.657 	 TPS : 20.536 	 RecvSec : 51.750 	 SendSec : 51698.675 	 SendDropSec : 0.000
Total Time : 33.779 	 TPS : 21.674 	 RecvSec : 59.369 	 SendSec : 59309.473 	 SendDropSec : 0.000
Total Time : 35.318 	 TPS : 14.304 	 RecvSec : 40.961 	 SendSec : 40919.562 	 SendDropSec : 0.000
Total Time : 37.530 	 TPS : 23.951 	 RecvSec : 56.940 	 SendSec : 56883.431 	 SendDropSec : 0.000
Total Time : 38.926 	 TPS : 20.067 	 RecvSec : 45.151 	 SendSec : 45106.238 	 SendDropSec : 0.000
Total Time : 40.737 	 TPS : 15.461 	 RecvSec : 34.787 	 SendSec : 34752.201 	 SendDropSec : 0.000
Total Time : 42.236 	 TPS : 34.679 	 RecvSec : 84.029 	 SendSec : 83945.431 	 SendDropSec : 0.000
Total Time : 44.316 	 TPS : 24.520 	 RecvSec : 60.578 	 SendSec : 60517.277 	 SendDropSec : 0.000
Total Time : 45.461 	 TPS : 21.844 	 RecvSec : 55.046 	 SendSec : 54990.595 	 SendDropSec : 0.000
Total Time : 47.219 	 TPS : 14.221 	 RecvSec : 35.838 	 SendSec : 35802.309 	 SendDropSec : 0.000
Total Time : 48.578 	 TPS : 17.650 	 RecvSec : 46.332 	 SendSec : 46285.789 	 SendDropSec : 0.000
Total Time : 49.820 	 TPS : 20.138 	 RecvSec : 50.747 	 SendSec : 50696.310 	 SendDropSec : 0.000
Total Time : 51.099 	 TPS : 19.550 	 RecvSec : 49.266 	 SendSec : 49216.783 	 SendDropSec : 0.000
Total Time : 52.477 	 TPS : 44.990 	 RecvSec : 91.431 	 SendSec : 91339.304 	 SendDropSec : 0.000
Total Time : 55.027 	 TPS : 23.526 	 RecvSec : 49.405 	 SendSec : 49355.662 	 SendDropSec : 0.000
Total Time : 57.481 	 TPS : 25.667 	 RecvSec : 51.334 	 SendSec : 51282.187 	 SendDropSec : 0.000
Total Time : 58.711 	 TPS : 21.952 	 RecvSec : 51.222 	 SendSec : 51170.373 	 SendDropSec : 0.000
Total Time : 61.164 	 TPS : 26.915 	 RecvSec : 51.383 	 SendSec : 51331.169 	 SendDropSec : 0.000
Total Time : 62.212 	 TPS : 29.569 	 RecvSec : 60.093 	 SendSec : 60032.605 	 SendDropSec : 0.000
Total Time : 63.335 	 TPS : 28.500 	 RecvSec : 56.109 	 SendSec : 56052.947 	 SendDropSec : 0.000
Total Time : 64.336 	 TPS : 61.954 	 RecvSec : 124.906 	 SendSec : 124781.501 	 SendDropSec : 0.000
Total Time : 66.131 	 TPS : 1.114 	 RecvSec : 0.557 	 SendSec : 556.548 	 SendDropSec : 0.000
Total Time : 68.008 	 TPS : 12.251 	 RecvSec : 33.556 	 SendSec : 33522.447 	 SendDropSec : 0.000
Total Time : 69.317 	 TPS : 18.340 	 RecvSec : 48.142 	 SendSec : 48094.139 	 SendDropSec : 0.000
Total Time : 70.756 	 TPS : 22.239 	 RecvSec : 43.782 	 SendSec : 43738.607 	 SendDropSec : 0.000
Total Time : 72.079 	 TPS : 19.644 	 RecvSec : 47.598 	 SendSec : 47550.590 	 SendDropSec : 0.000
Total Time : 73.118 	 TPS : 31.759 	 RecvSec : 60.631 	 SendSec : 60570.650 	 SendDropSec : 0.000
Total Time : 74.200 	 TPS : 29.585 	 RecvSec : 58.246 	 SendSec : 58188.084 	 SendDropSec : 0.000
Total Time : 76.358 	 TPS : 30.122 	 RecvSec : 58.390 	 SendSec : 58331.379 	 SendDropSec : 0.000
Total Time : 78.016 	 TPS : 18.089 	 RecvSec : 37.987 	 SendSec : 37948.658 	 SendDropSec : 0.000
Total Time : 79.446 	 TPS : 18.884 	 RecvSec : 44.062 	 SendSec : 44018.103 	 SendDropSec : 0.000
Total Time : 80.752 	 TPS : 20.673 	 RecvSec : 48.238 	 SendSec : 48189.341 	 SendDropSec : 0.000
Total Time : 82.639 	 TPS : 14.836 	 RecvSec : 33.382 	 SendSec : 33348.279 	 SendDropSec : 0.000
Total Time : 84.956 	 TPS : 29.352 	 RecvSec : 54.388 	 SendSec : 54333.821 	 SendDropSec : 0.000
Total Time : 86.786 	 TPS : 15.302 	 RecvSec : 34.430 	 SendSec : 34395.436 	 SendDropSec : 0.000
Total Time : 87.860 	 TPS : 27.007 	 RecvSec : 58.671 	 SendSec : 58612.570 	 SendDropSec : 0.000
Total Time : 90.163 	 TPS : 31.696 	 RecvSec : 54.709 	 SendSec : 54654.297 	 SendDropSec : 0.000
Total Time : 91.299 	 TPS : 32.562 	 RecvSec : 55.443 	 SendSec : 55388.052 	 SendDropSec : 0.000
Total Time : 92.567 	 TPS : 29.974 	 RecvSec : 49.693 	 SendSec : 49643.217 	 SendDropSec : 0.000
Total Time : 93.640 	 TPS : 34.460 	 RecvSec : 58.675 	 SendSec : 58616.381 	 SendDropSec : 0.000
Total Time : 95.844 	 TPS : 24.960 	 RecvSec : 57.181 	 SendSec : 57123.322 	 SendDropSec : 0.000
Total Time : 97.069 	 TPS : 29.388 	 RecvSec : 51.428 	 SendSec : 51376.963 	 SendDropSec : 0.000
Total Time : 98.692 	 TPS : 43.138 	 RecvSec : 77.649 	 SendSec : 77571.523 	 SendDropSec : 0.000
Total Time : 100.029 	 TPS : 25.430 	 RecvSec : 47.120 	 SendSec : 47072.432 	 SendDropSec : 0.000
Total Time : 102.699 	 TPS : 28.083 	 RecvSec : 47.180 	 SendSec : 47132.376 	 SendDropSec : 0.000
Total Time : 104.609 	 TPS : 19.896 	 RecvSec : 32.985 	 SendSec : 32951.801 	 SendDropSec : 0.000
Total Time : 105.868 	 TPS : 27.020 	 RecvSec : 50.067 	 SendSec : 50017.067 	 SendDropSec : 0.000
Total Time : 106.956 	 TPS : 33.997 	 RecvSec : 57.887 	 SendSec : 57828.675 	 SendDropSec : 0.000
Total Time : 108.403 	 TPS : 23.491 	 RecvSec : 43.528 	 SendSec : 43484.506 	 SendDropSec : 0.000
Total Time : 109.933 	 TPS : 20.916 	 RecvSec : 41.178 	 SendSec : 41137.179 	 SendDropSec : 0.000
Total Time : 111.102 	 TPS : 35.092 	 RecvSec : 53.923 	 SendSec : 53868.626 	 SendDropSec : 0.000
Total Time : 112.694 	 TPS : 23.243 	 RecvSec : 39.576 	 SendSec : 39536.277 	 SendDropSec : 0.000
Total Time : 114.209 	 TPS : 46.837 	 RecvSec : 83.119 	 SendSec : 83036.023 	 SendDropSec : 0.000
Total Time : 115.747 	 TPS : 19.505 	 RecvSec : 40.961 	 SendSec : 40919.805 	 SendDropSec : 0.000
Total Time : 116.748 	 TPS : 43.980 	 RecvSec : 95.956 	 SendSec : 95860.106 	 SendDropSec : 0.000
Total Time : 118.273 	 TPS : 16.396 	 RecvSec : 19.676 	 SendSec : 19655.871 	 SendDropSec : 0.000
Total Time : 120.460 	 TPS : 31.084 	 RecvSec : 57.596 	 SendSec : 57538.823 	 SendDropSec : 0.000
Total Time : 121.481 	 TPS : 29.388 	 RecvSec : 61.714 	 SendSec : 61652.199 	 SendDropSec : 0.000
Total Time : 123.202 	 TPS : 43.589 	 RecvSec : 73.230 	 SendSec : 73156.311 	 SendDropSec : 0.000
Total Time : 124.202 	 TPS : 43.995 	 RecvSec : 95.989 	 SendSec : 95893.183 	 SendDropSec : 0.000
Total Time : 125.922 	 TPS : 34.881 	 RecvSec : 54.066 	 SendSec : 54011.958 	 SendDropSec : 0.000
Total Time : 127.360 	 TPS : 25.725 	 RecvSec : 43.803 	 SendSec : 43758.928 	 SendDropSec : 0.000
Total Time : 128.650 	 TPS : 29.474 	 RecvSec : 48.864 	 SendSec : 48815.417 	 SendDropSec : 0.000
Total Time : 129.650 	 TPS : 57.991 	 RecvSec : 124.981 	 SendSec : 124856.247 	 SendDropSec : 0.000
Total Time : 131.510 	 TPS : 6.986 	 RecvSec : 0.537 	 SendSec : 536.863 	 SendDropSec : 0.000
Total Time : 133.494 	 TPS : 15.626 	 RecvSec : 31.757 	 SendSec : 31725.177 	 SendDropSec : 0.000
Total Time : 134.916 	 TPS : 20.401 	 RecvSec : 44.319 	 SendSec : 44275.118 	 SendDropSec : 0.000
Total Time : 136.033 	 TPS : 29.543 	 RecvSec : 56.400 	 SendSec : 56343.342 	 SendDropSec : 0.000
Total Time : 137.048 	 TPS : 37.449 	 RecvSec : 62.087 	 SendSec : 62024.612 	 SendDropSec : 0.000
Total Time : 139.117 	 TPS : 30.926 	 RecvSec : 60.886 	 SendSec : 60825.218 	 SendDropSec : 0.000
Total Time : 140.366 	 TPS : 24.028 	 RecvSec : 50.458 	 SendSec : 50407.343 	 SendDropSec : 0.000
Total Time : 141.725 	 TPS : 52.240 	 RecvSec : 92.708 	 SendSec : 92615.034 	 SendDropSec : 0.000
Total Time : 142.733 	 TPS : 38.665 	 RecvSec : 62.459 	 SendSec : 62396.738 	 SendDropSec : 0.000
Total Time : 144.343 	 TPS : 21.117 	 RecvSec : 39.128 	 SendSec : 39088.539 	 SendDropSec : 0.000
Total Time : 146.045 	 TPS : 18.802 	 RecvSec : 37.016 	 SendSec : 36978.613 	 SendDropSec : 0.000
Total Time : 147.532 	 TPS : 22.203 	 RecvSec : 42.388 	 SendSec : 42345.857 	 SendDropSec : 0.000
Total Time : 148.875 	 TPS : 23.072 	 RecvSec : 46.888 	 SendSec : 46841.575 	 SendDropSec : 0.000
Total Time : 150.466 	 TPS : 39.607 	 RecvSec : 79.213 	 SendSec : 79133.891 	 SendDropSec : 0.000
Total Time : 152.166 	 TPS : 19.994 	 RecvSec : 37.048 	 SendSec : 37010.535 	 SendDropSec : 0.000
Total Time : 153.285 	 TPS : 34.876 	 RecvSec : 56.338 	 SendSec : 56281.992 	 SendDropSec : 0.000
Total Time : 154.863 	 TPS : 50.702 	 RecvSec : 79.855 	 SendSec : 79775.133 	 SendDropSec : 0.000
Total Time : 156.661 	 TPS : 22.243 	 RecvSec : 35.033 	 SendSec : 34997.999 	 SendDropSec : 0.000
Total Time : 158.946 	 TPS : 34.576 	 RecvSec : 55.147 	 SendSec : 55091.466 	 SendDropSec : 0.000
Total Time : 160.413 	 TPS : 50.415 	 RecvSec : 85.842 	 SendSec : 85756.232 	 SendDropSec : 0.000
Total Time : 162.072 	 TPS : 23.519 	 RecvSec : 37.992 	 SendSec : 37953.558 	 SendDropSec : 0.000
Total Time : 163.652 	 TPS : 55.053 	 RecvSec : 79.732 	 SendSec : 79652.459 	 SendDropSec : 0.000
Total Time : 165.165 	 TPS : 26.438 	 RecvSec : 41.639 	 SendSec : 41597.535 	 SendDropSec : 0.000
Total Time : 166.799 	 TPS : 25.699 	 RecvSec : 38.548 	 SendSec : 38509.559 	 SendDropSec : 0.000
Total Time : 167.854 	 TPS : 39.823 	 RecvSec : 59.735 	 SendSec : 59674.873 	 SendDropSec : 0.000
Total Time : 169.388 	 TPS : 56.727 	 RecvSec : 82.156 	 SendSec : 82074.136 	 SendDropSec : 0.000
Total Time : 171.322 	 TPS : 23.786 	 RecvSec : 32.577 	 SendSec : 32544.211 	 SendDropSec : 0.000
Total Time : 172.464 	 TPS : 38.521 	 RecvSec : 55.155 	 SendSec : 55099.730 	 SendDropSec : 0.000
Total Time : 174.381 	 TPS : 22.948 	 RecvSec : 32.857 	 SendSec : 32824.424 	 SendDropSec : 0.000
Total Time : 175.383 	 TPS : 49.922 	 RecvSec : 65.898 	 SendSec : 65831.671 	 SendDropSec : 0.000
Total Time : 176.534 	 TPS : 33.886 	 RecvSec : 52.132 	 SendSec : 52079.853 	 SendDropSec : 0.000
Total Time : 178.231 	 TPS : 24.152 	 RecvSec : 37.112 	 SendSec : 37074.821 	 SendDropSec : 0.000
Total Time : 180.208 	 TPS : 22.264 	 RecvSec : 31.878 	 SendSec : 31846.104 	 SendDropSec : 0.000
Total Time : 181.811 	 TPS : 58.014 	 RecvSec : 78.600 	 SendSec : 78521.681 	 SendDropSec : 0.000
Total Time : 183.321 	 TPS : 24.493 	 RecvSec : 41.704 	 SendSec : 41662.190 	 SendDropSec : 0.000
Total Time : 185.191 	 TPS : 21.394 	 RecvSec : 33.696 	 SendSec : 33662.592 	 SendDropSec : 0.000
Total Time : 186.878 	 TPS : 28.447 	 RecvSec : 37.337 	 SendSec : 37299.753 	 SendDropSec : 0.000
Total Time : 188.169 	 TPS : 34.871 	 RecvSec : 48.820 	 SendSec : 48770.966 	 SendDropSec : 0.000
Total Time : 190.091 	 TPS : 27.569 	 RecvSec : 32.771 	 SendSec : 32737.815 	 SendDropSec : 0.000
Total Time : 192.463 	 TPS : 36.263 	 RecvSec : 53.129 	 SendSec : 53076.306 	 SendDropSec : 0.000
Total Time : 194.389 	 TPS : 24.912 	 RecvSec : 32.697 	 SendSec : 32664.001 	 SendDropSec : 0.000
Total Time : 196.147 	 TPS : 26.172 	 RecvSec : 35.844 	 SendSec : 35808.605 	 SendDropSec : 0.000
Total Time : 197.581 	 TPS : 32.089 	 RecvSec : 43.948 	 SendSec : 43904.123 	 SendDropSec : 0.000
Total Time : 198.734 	 TPS : 42.474 	 RecvSec : 54.609 	 SendSec : 54554.679 	 SendDropSec : 0.000
Total Time : 199.924 	 TPS : 36.986 	 RecvSec : 52.957 	 SendSec : 52903.871 	 SendDropSec : 0.000
Total Time : 201.754 	 TPS : 22.405 	 RecvSec : 34.427 	 SendSec : 34392.113 	 SendDropSec : 0.000
Total Time : 203.002 	 TPS : 70.527 	 RecvSec : 100.982 	 SendSec : 100881.319 	 SendDropSec : 0.000
Total Time : 204.563 	 TPS : 57.638 	 RecvSec : 80.694 	 SendSec : 80613.124 	 SendDropSec : 0.000
Total Time : 206.416 	 TPS : 35.074 	 RecvSec : 67.989 	 SendSec : 67921.351 	 SendDropSec : 0.000
Total Time : 208.298 	 TPS : 34.009 	 RecvSec : 66.955 	 SendSec : 66888.026 	 SendDropSec : 0.000
Total Time : 209.328 	 TPS : 43.692 	 RecvSec : 61.169 	 SendSec : 61107.769 	 SendDropSec : 0.000
Total Time : 210.765 	 TPS : 29.918 	 RecvSec : 43.833 	 SendSec : 43789.346 	 SendDropSec : 0.000
Total Time : 212.215 	 TPS : 35.180 	 RecvSec : 43.458 	 SendSec : 43414.699 	 SendDropSec : 0.000
Total Time : 213.411 	 TPS : 39.295 	 RecvSec : 52.672 	 SendSec : 52619.460 	 SendDropSec : 0.000
Total Time : 214.827 	 TPS : 24.714 	 RecvSec : 44.486 	 SendSec : 44441.068 	 SendDropSec : 0.000
Total Time : 216.433 	 TPS : 13.700 	 RecvSec : 39.233 	 SendSec : 39193.941 	 SendDropSec : 0.000
Total Time : 218.216 	 TPS : 19.069 	 RecvSec : 35.333 	 SendSec : 35297.890 	 SendDropSec : 0.000
Total Time : 220.653 	 TPS : 19.288 	 RecvSec : 51.709 	 SendSec : 51657.710 	 SendDropSec : 0.000
Total Time : 222.324 	 TPS : 24.534 	 RecvSec : 37.698 	 SendSec : 37660.439 	 SendDropSec : 0.000
Total Time : 223.944 	 TPS : 52.466 	 RecvSec : 77.773 	 SendSec : 77695.075 	 SendDropSec : 0.000
Total Time : 224.999 	 TPS : 36.025 	 RecvSec : 59.726 	 SendSec : 59666.591 	 SendDropSec : 0.000
Total Time : 227.753 	 TPS : 22.872 	 RecvSec : 45.744 	 SendSec : 45698.241 	 SendDropSec : 0.000
Total Time : 229.010 	 TPS : 30.237 	 RecvSec : 50.130 	 SendSec : 50080.268 	 SendDropSec : 0.000
Total Time : 231.051 	 TPS : 37.244 	 RecvSec : 61.747 	 SendSec : 61684.850 	 SendDropSec : 0.000
Total Time : 232.696 	 TPS : 29.172 	 RecvSec : 38.288 	 SendSec : 38250.120 	 SendDropSec : 0.000
Total Time : 233.918 	 TPS : 38.479 	 RecvSec : 51.579 	 SendSec : 51527.317 	 SendDropSec : 0.000
Total Time : 235.079 	 TPS : 37.877 	 RecvSec : 54.232 	 SendSec : 54178.097 	 SendDropSec : 0.000
Total Time : 236.529 	 TPS : 32.408 	 RecvSec : 43.441 	 SendSec : 43397.570 	 SendDropSec : 0.000
Total Time : 238.496 	 TPS : 26.945 	 RecvSec : 32.029 	 SendSec : 31997.232 	 SendDropSec : 0.000
Total Time : 239.657 	 TPS : 43.067 	 RecvSec : 54.264 	 SendSec : 54210.101 	 SendDropSec : 0.000
Total Time : 241.096 	 TPS : 27.100 	 RecvSec : 43.776 	 SendSec : 43732.629 	 SendDropSec : 0.000
Total Time : 242.122 	 TPS : 48.772 	 RecvSec : 61.452 	 SendSec : 61390.853 	 SendDropSec : 0.000
Total Time : 243.632 	 TPS : 36.424 	 RecvSec : 41.722 	 SendSec : 41680.629 	 SendDropSec : 0.000
Total Time : 245.281 	 TPS : 30.924 	 RecvSec : 38.200 	 SendSec : 38162.225 	 SendDropSec : 0.000
Total Time : 246.594 	 TPS : 34.264 	 RecvSec : 47.970 	 SendSec : 47922.133 	 SendDropSec : 0.000
Total Time : 248.118 	 TPS : 35.442 	 RecvSec : 41.349 	 SendSec : 41307.441 	 SendDropSec : 0.000
Total Time : 249.137 	 TPS : 51.029 	 RecvSec : 61.823 	 SendSec : 61761.209 	 SendDropSec : 0.000
Total Time : 250.542 	 TPS : 29.898 	 RecvSec : 44.847 	 SendSec : 44802.180 	 SendDropSec : 0.000
Total Time : 252.433 	 TPS : 27.490 	 RecvSec : 33.306 	 SendSec : 33272.366 	 SendDropSec : 0.000
Total Time : 253.559 	 TPS : 39.097 	 RecvSec : 55.979 	 SendSec : 55923.465 	 SendDropSec : 0.000
Total Time : 255.474 	 TPS : 20.887 	 RecvSec : 32.896 	 SendSec : 32863.345 	 SendDropSec : 0.000
Total Time : 257.174 	 TPS : 52.941 	 RecvSec : 74.117 	 SendSec : 74042.597 	 SendDropSec : 0.000
Total Time : 258.333 	 TPS : 37.942 	 RecvSec : 54.326 	 SendSec : 54271.441 	 SendDropSec : 0.000
Total Time : 259.904 	 TPS : 30.559 	 RecvSec : 40.109 	 SendSec : 40068.865 	 SendDropSec : 0.000
Total Time : 261.702 	 TPS : 27.253 	 RecvSec : 35.040 	 SendSec : 35004.752 	 SendDropSec : 0.000
Total Time : 262.880 	 TPS : 40.749 	 RecvSec : 53.482 	 SendSec : 53429.000 	 SendDropSec : 0.000
Total Time : 264.150 	 TPS : 37.004 	 RecvSec : 49.601 	 SendSec : 49551.574 	 SendDropSec : 0.000
Total Time : 265.819 	 TPS : 29.958 	 RecvSec : 37.747 	 SendSec : 37709.522 	 SendDropSec : 0.000
Total Time : 266.821 	 TPS : 55.885 	 RecvSec : 87.820 	 SendSec : 87731.974 	 SendDropSec : 0.000
Total Time : 268.288 	 TPS : 24.550 	 RecvSec : 25.914 	 SendSec : 25888.217 	 SendDropSec : 0.000
Total Time : 270.512 	 TPS : 41.804 	 RecvSec : 56.637 	 SendSec : 56580.694 	 SendDropSec : 0.000
Total Time : 272.138 	 TPS : 28.291 	 RecvSec : 38.746 	 SendSec : 38707.323 	 SendDropSec : 0.000
Total Time : 275.036 	 TPS : 34.166 	 RecvSec : 43.485 	 SendSec : 43441.047 	 SendDropSec : 0.000
Total Time : 276.217 	 TPS : 43.172 	 RecvSec : 53.330 	 SendSec : 53276.996 	 SendDropSec : 0.000
Total Time : 277.218 	 TPS : 77.962 	 RecvSec : 124.940 	 SendSec : 124814.615 	 SendDropSec : 0.000
Total Time : 278.244 	 TPS : 4.874 	 RecvSec : 0.975 	 SendSec : 973.779 	 SendDropSec : 0.000
Total Time : 279.775 	 TPS : 28.729 	 RecvSec : 41.135 	 SendSec : 41093.822 	 SendDropSec : 0.000
Total Time : 282.204 	 TPS : 26.353 	 RecvSec : 51.883 	 SendSec : 51831.274 	 SendDropSec : 0.000
Total Time : 284.467 	 TPS : 43.742 	 RecvSec : 55.671 	 SendSec : 55615.515 	 SendDropSec : 0.000
Total Time : 285.942 	 TPS : 37.284 	 RecvSec : 42.707 	 SendSec : 42663.911 	 SendDropSec : 0.000
Total Time : 287.113 	 TPS : 36.731 	 RecvSec : 53.815 	 SendSec : 53761.356 	 SendDropSec : 0.000
Total Time : 288.447 	 TPS : 34.488 	 RecvSec : 47.233 	 SendSec : 47186.107 	 SendDropSec : 0.000
Total Time : 289.875 	 TPS : 64.392 	 RecvSec : 88.189 	 SendSec : 88100.713 	 SendDropSec : 0.000
Total Time : 290.927 	 TPS : 47.556 	 RecvSec : 59.921 	 SendSec : 59861.194 	 SendDropSec : 0.000
Total Time : 292.745 	 TPS : 55.548 	 RecvSec : 69.298 	 SendSec : 69228.458 	 SendDropSec : 0.000
Total Time : 293.871 	 TPS : 46.193 	 RecvSec : 55.965 	 SendSec : 55909.222 	 SendDropSec : 0.000
Total Time : 295.065 	 TPS : 34.316 	 RecvSec : 52.729 	 SendSec : 52676.732 	 SendDropSec : 0.000
Total Time : 296.368 	 TPS : 36.080 	 RecvSec : 48.362 	 SendSec : 48313.811 	 SendDropSec : 0.000
Total Time : 298.335 	 TPS : 25.418 	 RecvSec : 32.027 	 SendSec : 31994.964 	 SendDropSec : 0.000
Total Time : 300.915 	 TPS : 38.756 	 RecvSec : 48.832 	 SendSec : 48783.352 	 SendDropSec : 0.000
Total Time : 302.877 	 TPS : 23.451 	 RecvSec : 32.118 	 SendSec : 32086.216 	 SendDropSec : 0.000
Total Time : 304.030 	 TPS : 41.629 	 RecvSec : 54.638 	 SendSec : 54582.906 	 SendDropSec : 0.000
Total Time : 305.544 	 TPS : 58.118 	 RecvSec : 83.215 	 SendSec : 83131.818 	 SendDropSec : 0.000
Total Time : 307.617 	 TPS : 48.253 	 RecvSec : 60.799 	 SendSec : 60738.052 	 SendDropSec : 0.000
Total Time : 309.103 	 TPS : 73.344 	 RecvSec : 84.783 	 SendSec : 84698.661 	 SendDropSec : 0.000
Total Time : 310.213 	 TPS : 42.326 	 RecvSec : 56.735 	 SendSec : 56678.248 	 SendDropSec : 0.000
Total Time : 311.301 	 TPS : 43.184 	 RecvSec : 57.886 	 SendSec : 57827.671 	 SendDropSec : 0.000
Total Time : 312.303 	 TPS : 56.933 	 RecvSec : 92.891 	 SendSec : 92798.055 	 SendDropSec : 0.000
Total Time : 313.762 	 TPS : 26.718 	 RecvSec : 22.608 	 SendSec : 22584.966 	 SendDropSec : 0.000
Total Time : 315.319 	 TPS : 63.607 	 RecvSec : 80.955 	 SendSec : 80873.938 	 SendDropSec : 0.000
Total Time : 317.803 	 TPS : 38.245 	 RecvSec : 50.726 	 SendSec : 50674.866 	 SendDropSec : 0.000
Total Time : 318.898 	 TPS : 45.635 	 RecvSec : 57.501 	 SendSec : 57443.164 	 SendDropSec : 0.000
Total Time : 320.661 	 TPS : 26.668 	 RecvSec : 35.746 	 SendSec : 35710.433 	 SendDropSec : 0.000
Total Time : 322.187 	 TPS : 39.972 	 RecvSec : 41.283 	 SendSec : 41241.371 	 SendDropSec : 0.000
Total Time : 323.448 	 TPS : 36.470 	 RecvSec : 49.948 	 SendSec : 49898.102 	 SendDropSec : 0.000
Total Time : 324.565 	 TPS : 42.088 	 RecvSec : 56.416 	 SendSec : 56360.032 	 SendDropSec : 0.000
Total Time : 325.892 	 TPS : 34.666 	 RecvSec : 47.478 	 SendSec : 47430.457 	 SendDropSec : 0.000
Total Time : 327.163 	 TPS : 33.825 	 RecvSec : 49.558 	 SendSec : 49508.335 	 SendDropSec : 0.000
Total Time : 328.733 	 TPS : 61.777 	 RecvSec : 80.246 	 SendSec : 80165.730 	 SendDropSec : 0.000
Total Time : 330.657 	 TPS : 23.385 	 RecvSec : 32.739 	 SendSec : 32706.218 	 SendDropSec : 0.000
Total Time : 331.922 	 TPS : 35.596 	 RecvSec : 49.834 	 SendSec : 49784.262 	 SendDropSec : 0.000
