time,user_count,tick_avg_ms,tick_max_ms,tick_count
20:07:55,1,0.000,0.000,0
20:08:05,945,17.370,6420.640,944
20:08:15,1356,24.346,31.997,411
20:08:25,1668,32.056,40.281,312
20:08:35,1929,38.331,47.295,261
20:08:45,2156,44.051,50.596,227
20:08:55,2361,48.917,59.023,205
20:09:05,2547,53.987,62.337,186
20:09:15,2716,59.359,72.991,169
20:09:25,2874,63.320,77.457,158
20:09:35,3000,66.796,77.275,128
20:10:15,3000,1588.248,4255.399,4
20:11:07,3000,35260.273,35260.273,1
20:11:24,3000,52468.606,52468.606,1
20:11:35,3000,805.193,16588.403,33
20:11:45,3000,192.036,1444.135,52
20:11:55,3000,94.865,1656.763,103
20:12:05,3000,123.216,1645.551,83
20:12:15,3000,124.524,1423.366,80
20:12:25,3000,98.688,1639.934,116
20:12:35,3000,73.028,1368.620,137
20:12:45,3000,61.673,1349.611,136
20:12:55,3000,102.294,1637.034,100
20:13:05,3000,134.878,1446.410,77
20:13:15,3000,86.210,1469.087,116
20:13:25,3000,82.965,1072.353,121
20:13:35,3000,146.745,1263.036,69
20:13:45,3000,76.374,1622.140,127
20:13:55,3000,111.779,1555.187,90
20:14:05,3000,140.456,1621.742,69
20:14:15,3000,153.107,1485.168,67
20:14:25,3000,158.231,1375.673,65
20:14:37,2999,89.565,1557.186,82
20:15:05,0,5337.632,5337.632,1
20:15:43,1,0.000,0.000,0
20:15:53,924,18.951,7526.398,924
20:16:03,1329,24.707,35.388,405
20:16:13,1634,32.806,44.696,305
20:16:23,1889,39.202,49.581,255
20:16:33,2113,44.632,56.528,224
20:16:43,2312,50.317,66.257,199
20:16:53,2494,54.993,66.024,182
20:17:03,2660,60.595,73.331,166
20:17:13,2817,63.771,79.233,157
20:17:23,2966,67.283,79.393,149
20:18:28,3000,194.979,4175.647,40
20:19:26,3000,57110.940,57110.940,1
20:20:10,3000,58059.842,58059.842,1
20:20:55,3000,44724.889,44724.889,1
20:21:38,3000,44219.641,44219.641,1
20:22:13,3000,43702.356,43702.356,1
20:22:37,2338,34365.397,34365.397,1
20:22:59,0,24543.001,24543.001,1
20:24:42,1,0.000,0.000,0
20:24:52,932,17.954,6734.336,931
20:25:02,1337,24.666,35.507,405
20:25:12,1644,32.606,44.355,307
20:25:22,1898,39.469,50.210,254
20:25:32,2121,44.837,80.955,223
20:25:42,2319,50.477,64.038,198
20:25:52,2500,55.466,66.829,181
20:26:02,2668,59.535,74.364,168
20:26:12,2827,63.092,76.415,159
20:26:22,2977,66.826,86.990,150
20:26:39,3000,82.272,489.907,28
20:27:06,3000,14164.453,14164.453,1
20:28:04,3000,27681.814,27681.814,1
20:29:21,3000,57957.638,57957.638,1
20:30:37,3000,76612.473,76612.473,1
20:31:39,1874,75589.788,75589.788,1
20:31:55,0,62485.110,62485.110,1
20:35:07,1,0.000,0.000,0
20:35:17,937,17.606,6496.944,936
20:35:27,1303,27.287,50.616,366
20:35:37,1567,37.936,48.970,264
20:35:47,1800,43.060,60.191,233
20:35:57,2006,48.629,68.936,206
20:36:07,2187,55.338,80.242,181
20:36:17,2354,60.024,77.271,167
20:36:27,2509,64.690,81.894,155
20:36:37,2654,68.787,83.766,145
20:36:47,2780,79.591,117.560,126
20:36:57,2903,81.540,103.671,123
20:38:16,3000,84.281,430.392,102
20:39:32,3000,70560.553,70560.553,1
20:40:43,3000,76173.676,76173.676,1
20:41:56,3000,70789.699,70789.699,1
20:42:54,339,72979.553,72979.553,1
